;Barri;Habitacions;Lavabo;Metres;Preu;TipusImmoble
1064;Raval;2;2;80;2.100 €;Piso
1065;Esquerra Baixa de l´Eixample;;1;70;1.700 €;Loft
1066;Sant Gervasi - Bonanova;2;1;80;1.350 €;Piso
1067;Sant Gervasi - Galvany;4;2;174;3.500 €;Piso
1068;Dreta de l´Eixample;3;2;120;1.550 €;Piso
1069;Vila de Gràcia;2;1;60;1.350 €;Piso
1070;Sant Gervasi - Galvany;6;4;338;6.800 €;Piso
1071;Dreta de l´Eixample;2;2;75;1.800 €;Piso
1072;Dreta de l´Eixample;2;1;60;1.350 €;Piso
1073;Glòries El Parc;3;1;86;1.350 €;Piso
1074;Les Corts;3;2;140;2.500 €;Piso
1075;Sant Gervasi - Bonanova;4;2;125;2.100 €;Piso
1076;Tres Torres;3;2;130;1.850 €;Piso
1077;Vila de Gràcia;2;2;125;1.600 €;Piso
1078;Tres Torres;3;1;70;1.200 €;Piso
1079;Glòries El Parc;2;2;150;2.300 €;Loft
1080;Sant Gervasi - Galvany;4;4;236;3.000 €;Piso
1081;Sagrada Família;3;1;70;1.150 €;Piso
1082;Sagrada Família;2;2;66;1.450 €;Piso
1083;Esquerra Alta de l´Eixample;;1;50;1.000 €;Piso
1084;Sant Gervasi - Galvany;2;2;96;2.200 €;Piso
1085;Poblenou;3;2;100;2.600 €;Piso
1086;Fort Pienc;3;1;100;1.500 €;Apartamento
1087;Sarrià;3;1;70;1.700 €;Apartamento
1088;Sant Gervasi - Bonanova;3;2;145;2.200 €;Ático
1089;Sarrià;2;1;65;1.100 €;Piso
1090;Vila de Gràcia;;1;42;850 €;Piso
1091;Esquerra Baixa de l´Eixample;3;1;100;1.395 €;Piso
1092;Esquerra Alta de l´Eixample;2;1;98;1.400 €;Piso
1093;Sant Gervasi - Galvany;3;2;90;1.300 €;Piso
1094;Dreta de l´Eixample;2;2;101;3.300 €;Piso
1095;Diagonal Mar - La Mar Bella;3;2;100;3.400 €;Piso
1096;Vila de Gràcia;;2;67;1.200 €;Apartamento
1097;Raval;2;1;70;1.450 €;Piso
1098;Les Corts;2;2;73;1.450 €;Piso
1099;Les Corts;5;4;200;2.850 €;Apartamento
1100;Les Corts;3;1;80;1.350 €;Piso
1101;Gòtic;3;2;200;1.390 €;Piso
1102;Gòtic;4;2;103;1.890 €;Apartamento
1103;Sant Antoni;2;2;70;2.000 €;Piso
1104;Dreta de l´Eixample;4;2;120;1.900 €;Piso
1105;Gòtic;2;1;80;1.600 €;Apartamento
1106;Esquerra Baixa de l´Eixample;3;1;92;1.200 €;Piso
1107;Sants;4;2;80;1.100 €;Ático
1108;Vallcarca - Penitents;2;1;65;890 €;Piso
1109;Sant Gervasi - Bonanova;3;2;144;2.400 €;Piso
1110;Dreta de l´Eixample;4;2;148;2.400 €;Piso
1111;Sant Andreu;3;2;132;1.470 €;Casa
1112;Raval;5;3;166;2.500 €;Piso
1113;Sagrada Família;2;1;80;1.400 €;Piso
1114;Esquerra Alta de l´Eixample;2;3;110;2.100 €;Piso
1115;Sant Antoni;3;3;109;2.390 €;Dúplex
1116;Glòries El Parc;3;3;108;2.168 €;Dúplex
1117;Dreta de l´Eixample;3;2;152;4.000 €;Piso
1118;Sant Andreu;3;1;75;850 €;Piso
1119;Les Corts;;1;30;690 €;Piso
1120;Putget - Farró;2;1;80;1.550 €;Planta
1121;Esquerra Baixa de l´Eixample;2;1;120;1.200 €;Piso
1122;Sarrià;2;1;50;950 €;Piso
1123;Gòtic;;1;25;750 €;Estudio
1124;Sant Gervasi - Galvany;;2;78;2.150 €;Piso
1125;Putget - Farró;;1;65;1.500 €;Piso
1126;Pedralbes;4;7;358;8.293 €;Piso
1127;Diagonal Mar - La Mar Bella;3;1;110;1.875 €;Piso
1128;Sant Ramon - Maternitat;3;1;69;1.250 €;Apartamento
1129;Sant Gervasi - Galvany;3;2;140;4.200 €;Ático
1130;Barceloneta;;1;40;850 €;Loft
1131;Fort Pienc;3;1;130;1.200 €;Planta
1132;Dreta de l´Eixample;3;2;110;1.900 €;Piso
1133;Besòs - Maresme;2;2;80;1.600 €;Piso
1134;Raval;2;1;46;1.150 €;Apartamento
1135;Provençals del Poblenou;4;2;100;1.850 €;Ático
1136;Diagonal Mar - La Mar Bella;3;2;140;3.100 €;Piso
1137;Esquerra Alta de l´Eixample;;1;60;1.000 €;Ático
1138;Guinardó;4;3;140;2.400 €;Casa
1139;Sarrià;;1;69;1.200 €;Piso
1140;Poblenou;4;2;150;1.700 €;Piso
1141;Sagrada Família;3;2;80;1.549 €;Piso
1142;Esquerra Alta de l´Eixample;2;1;81;1.650 €;Piso
1143;St. Pere - Sta. Caterina - El Born;3;1;60;1.500 €;Apartamento
1144;Les Corts;3;3;140;1.900 €;Piso
1145;Gòtic;;1;75;1.700 €;Apartamento
1146;Dreta de l´Eixample;3;2;110;2.350 €;Piso
1147;El Clot;3;2;75;1.595 €;Piso
1148;Fort Pienc;3;2;66;1.850 €;Piso
1149;Dreta de l´Eixample;2;2;120;2.300 €;Piso
1150;Vila de Gràcia;4;2;110;1.500 €;Piso
1151;Sants;4;2;96;1.700 €;Ático
1152;Esquerra Alta de l´Eixample;2;2;50;1.350 €;Apartamento
1153;Carmel;2;1;55;800 €;Piso
1154;Dreta de l´Eixample;2;1;71;1.600 €;Apartamento
1155;Poble Sec;2;1;70;1.395 €;Piso
1156;Sant Antoni;2;1;86;1.450 €;Piso
1157;La Guineueta;4;2;110;1.150 €;Piso
1158;La Marina-Montjuïc;3;1;70;900 €;Piso
1159;Sants;4;1;80;1.200 €;Piso
1160;Diagonal Mar - La Mar Bella;;1;106;1.800 €;Piso
1161;Dreta de l´Eixample;3;2;115;2.200 €;Piso
1162;Dreta de l´Eixample;3;2;100;1.600 €;Apartamento
1163;Sarrià;4;4;320;6.493 €;Casa
1164;Esquerra Alta de l´Eixample;3;2;120;1.950 €;Piso
1165;Gòtic;4;2;103;2.250 €;Apartamento
1166;Poble Sec;2;1;53;1.100 €;Piso
1167;Sant Gervasi - Bonanova;5;3;180;2.400 €;Piso
1168;Diagonal Mar - La Mar Bella;3;2;104;2.000 €;Piso
1169;Diagonal Mar - La Mar Bella;2;1;75;2.300 €;Piso
1170;Esquerra Baixa de l´Eixample;;1;70;1.200 €;Piso
1171;Sant Ramon - Maternitat;3;1;90;1.100 €;Piso
1172;Raval;2;2;82;1.050 €;Piso
1173;Esquerra Alta de l´Eixample;3;2;75;1.300 €;Piso
1174;Raval;2;1;68;850 €;Piso
1175;Sant Gervasi - Galvany;3;2;135;2.000 €;Piso
1176;Les Corts;3;2;80;1.200 €;Piso
1177;Putget - Farró;2;1;75;1.100 €;Apartamento
1178;Raval;2;2;62;1.400 €;Piso
1179;Fort Pienc;4;2;90;1.300 €;Ático
1180;Dreta de l´Eixample;2;1;75;1.650 €;Piso
1181;Poble Sec;;1;65;1.255 €;Piso
1182;Vila de Gràcia;;1;50;950 €;Planta
1183;Diagonal Mar - La Mar Bella;2;2;80;1.685 €;Piso
1184;Sagrada Família;4;2;75;1.200 €;Piso
1185;Pedralbes;5;3;200;4.100 €;Piso
1186;Sant Gervasi - Galvany;4;3;164;2.500 €;Piso
1187;Guinardó;2;1;114;1.000 €;Piso
1188;Sant Antoni;3;2;80;1.950 €;Piso
1189;Esquerra Alta de l´Eixample;2;2;55;1.500 €;Piso
1190;Putget - Farró;4;3;140;2.450 €;Piso
1191;Raval;2;1;65;1.195 €;Piso
1192;Esquerra Alta de l´Eixample;3;3;118;2.245 €;Ático
1193;Gòtic;2;1;63;1.600 €;Piso
1194;Dreta de l´Eixample;3;2;90;1.750 €;Piso
1195;Putget - Farró;4;3;149;2.800 €;Piso
1196;Dreta de l´Eixample;;1;55;1.500 €;Piso
1197;Esquerra Alta de l´Eixample;3;2;75;1.400 €;Piso
1198;Gòtic;2;2;130;2.500 €;Piso
1199;Sant Gervasi - Bonanova;4;2;135;1.800 €;Piso
1200;Dreta de l´Eixample;2;2;118;2.950 €;Piso
1201;Sant Martí;2;1;78;1.100 €;Piso
1202;Diagonal Mar - La Mar Bella;4;3;170;3.200 €;Casa
1203;Esquerra Baixa de l´Eixample;3;3;149;2.495 €;Dúplex
1204;Esquerra Alta de l´Eixample;3;2;85;1.695 €;Piso
1205;St. Pere - Sta. Caterina - El Born;2;2;80;1.725 €;Piso
1206;Sant Antoni;3;2;70;1.595 €;Piso
1207;Diagonal Mar - La Mar Bella;4;3;292;4.000 €;Casa
1208;Les Corts;3;1;77;1.495 €;Piso
1209;Sant Gervasi - Bonanova;4;3;240;3.000 €;Ático
1210;Putget - Farró;4;3;180;2.000 €;Dúplex
1211;Vila de Gràcia;2;1;160;1.850 €;Apartamento
1212;St. Pere - Sta. Caterina - El Born;2;2;140;2.000 €;Piso
1213;Vila de Gràcia;3;2;97;1.800 €;Piso
1214;Horta;4;2;97;1.200 €;Piso
1215;Dreta de l´Eixample;2;2;122;2.200 €;Piso
1216;Gòtic;2;2;80;1.750 €;Piso
1217;Esquerra Alta de l´Eixample;2;2;80;1.950 €;Piso
1218;Besòs - Maresme;2;2;90;1.650 €;Piso
1219;Vila de Gràcia;2;1;55;1.200 €;Apartamento
1220;Sant Gervasi - Galvany;2;1;89;1.400 €;Piso
1221;Diagonal Mar - La Mar Bella;3;2;96;2.100 €;Piso
1222;Poble Sec;2;1;72;1.295 €;Piso
1223;Esquerra Alta de l´Eixample;5;2;180;2.000 €;Piso
1224;Raval;3;1;62;1.390 €;Piso
1225;Sarrià;3;2;105;1.895 €;Piso
1226;Fort Pienc;2;2;100;1.700 €;Ático
1227;Camp d´en Grassot - Gràcia N.;2;2;70;1.100 €;Piso
1228;Sant Gervasi - Galvany;3;2;149;2.200 €;Piso
1229;Vallcarca - Penitents;2;1;60;1.925 €;Piso
1230;Guinardó;4;2;94;990 €;Piso
1231;Dreta de l´Eixample;;1;63;2.100 €;Ático
1232;Fort Pienc;2;1;53;1.480 €;Piso
1233;Putget - Farró;4;2;110;1.550 €;Piso
1234;St. Pere - Sta. Caterina - El Born;;1;46;1.000 €;Piso
1235;Sants;;1;42;800 €;Estudio
1236;Dreta de l´Eixample;2;1;75;1.600 €;Piso
1237;Sant Gervasi - Bonanova;3;2;110;2.250 €;Ático
1238;Dreta de l´Eixample;3;2;80;3.146 €;Apartamento
1239;Camp de l´Arpa;4;1;90;1.300 €;Ático
1240;Vila de Gràcia;2;1;40;1.300 €;Apartamento
1241;Sant Gervasi - Bonanova;4;3;160;3.300 €;Piso
1242;Badal;2;2;72;1.100 €;Piso
1243;Font de la Guatlla;3;2;110;1.200 €;Piso
1244;Vila de Gràcia;2;1;74;1.100 €;Piso
1245;Font de la Guatlla;3;2;110;1.200 €;Piso
1246;Vila de Gràcia;2;1;74;1.100 €;Piso
1247;Vila de Gràcia;;1;80;2.300 €;Apartamento
1248;Besòs - Maresme;3;2;84;1.800 €;Piso
1249;Pedralbes;3;2;100;1.700 €;Piso
1250;Sants;;1;45;1.600 €;Piso
1251;Raval;2;2;70;1.350 €;Piso
1252;Tres Torres;5;3;200;4.500 €;Ático
1253;Sant Gervasi - Bonanova;6;4;287;6.713 €;Casa
1254;Sant Gervasi - Galvany;3;1;90;1.700 €;Piso
1255;Sant Gervasi - Galvany;3;2;105;1.450 €;Piso
1256;Sant Gervasi - Galvany;5;4;240;3.500 €;Piso
1257;Camp de l´Arpa;2;1;70;875 €;Piso
1258;Sant Gervasi - Bonanova;4;4;400;14.000 €;Piso
1259;Dreta de l´Eixample;3;2;79;1.300 €;Piso
1260;Sagrada Família;4;2;86;1.250 €;Piso
1261;Dreta de l´Eixample;2;2;105;2.500 €;Apartamento
1262;Sant Gervasi - Galvany;3;2;96;1.850 €;Piso
1263;Sagrada Família;2;2;120;1.600 €;Piso
1264;La Bordeta;2;2;86;1.250 €;Piso
1265;Diagonal Mar - La Mar Bella;3;2;106;1.500 €;Apartamento
1266;Sant Antoni;3;3;109;2.140 €;Dúplex
1267;Vila Olímpica;2;1;74;1.450 €;Piso
1268;Vila de Gràcia;3;2;100;1.850 €;Piso
1269;Raval;2;1;52;1.095 €;Piso
1270;Esquerra Alta de l´Eixample;2;1;60;1.450 €;Piso
1271;Esquerra Alta de l´Eixample;3;2;90;1.850 €;Piso
1272;Esquerra Alta de l´Eixample;2;2;80;1.695 €;Piso
1273;Poblenou;3;1;71;1.345 €;Piso
1274;Camp d´en Grassot - Gràcia N.;;1;41;1.095 €;Piso
1275;Camp d´en Grassot - Gràcia N.;3;1;78;1.220 €;Piso
1276;Les Corts;2;2;70;1.500 €;Piso
1277;Dreta de l´Eixample;2;2;90;1.750 €;Piso
1278;Raval;;1;53;950 €;Piso
1279;Sant Antoni;4;2;96;1.400 €;Piso
1280;Glòries El Parc;3;2;108;2.168 €;Planta
1281;Sant Gervasi - Galvany;3;2;100;1.990 €;Piso
1282;Raval;3;1;60;1.400 €;Piso
1283;Raval;3;3;70;1.595 €;Ático
1284;Sagrada Família;3;1;80;1.495 €;Piso
1285;Hostafrancs;2;1;70;1.150 €;Ático
1286;Diagonal Mar - La Mar Bella;2;2;100;2.200 €;Piso
1287;Sant Gervasi - Galvany;4;4;211;3.500 €;Piso
1288;Tres Torres;4;3;200;2.900 €;Piso
1289;Besòs - Maresme;3;2;114;2.500 €;Piso
1290;Sagrada Família;2;1;80;1.100 €;Piso
1291;Gòtic;2;1;55;1.050 €;Piso
1292;Sant Gervasi - Galvany;4;2;123;1.300 €;Piso
1293;Esquerra Baixa de l´Eixample;2;1;85;1.325 €;Piso
1294;Sant Gervasi - Bonanova;4;3;173;2.600 €;Piso
1295;Raval;2;1;53;1.350 €;Piso
1296;Putget - Farró;2;2;85;1.800 €;Apartamento
1297;Sant Antoni;3;2;110;2.140 €;Dúplex
1298;Dreta de l´Eixample;3;2;85;1.150 €;Piso
1299;Les Corts;4;3;210;3.300 €;Piso
1300;Esquerra Baixa de l´Eixample;2;1;110;1.300 €;Ático
1301;Baix Guinardó;3;1;100;1.250 €;Piso
1302;Putget - Farró;5;4;330;3.500 €;Casa
1303;Camp d´en Grassot - Gràcia N.;3;1;98;1.275 €;Piso
1304;Sarrià;2;2;98;2.000 €;Piso
1305;Esquerra Alta de l´Eixample;3;2;85;1.850 €;Piso
1306;Esquerra Alta de l´Eixample;3;1;75;1.295 €;Piso
1307;Esquerra Alta de l´Eixample;2;2;80;1.450 €;Piso
1308;Pedralbes;5;3;220;3.500 €;Piso
1309;Sant Gervasi - Bonanova;5;4;650;12.000 €;Casa
1310;Sants;;1;52;1.150 €;Piso
1311;Esquerra Alta de l´Eixample;4;2;105;1.661 €;Piso
1312;Sant Gervasi - Galvany;3;2;100;1.500 €;Piso
1313;Esquerra Alta de l´Eixample;2;2;80;1.500 €;Piso
1314;Camp d´en Grassot - Gràcia N.;;2;63;1.040 €;Apartamento
1315;Besòs - Maresme;2;2;113;1.595 €;Dúplex
1316;Esquerra Alta de l´Eixample;2;2;72;1.450 €;Piso
1317;Esquerra Alta de l´Eixample;3;5;90;1.750 €;Dúplex
1318;La Verneda - La Pau;3;1;60;850 €;Piso
1319;Dreta de l´Eixample;2;1;70;2.100 €;Apartamento
1320;Sant Gervasi - Galvany;2;1;65;1.450 €;Piso
1321;Esquerra Baixa de l´Eixample;3;1;105;1.300 €;Piso
1322;Esquerra Alta de l´Eixample;3;2;95;1.395 €;Piso
1323;Esquerra Alta de l´Eixample;3;1;75;1.395 €;Piso
1324;Vila de Gràcia;;2;85;1.395 €;Piso
1325;Dreta de l´Eixample;;1;70;2.200 €;Apartamento
1326;Badal;2;1;70;1.100 €;Piso
1327;Dreta de l´Eixample;2;1;85;2.000 €;Apartamento
1328;Pedralbes;4;3;280;6.500 €;Piso
1329;Camp de l´Arpa;3;1;100;1.700 €;Piso
1330;Tres Torres;2;1;92;1.600 €;Apartamento
1331;Barceloneta;2;2;90;1.640 €;Piso
1332;Diagonal Mar - La Mar Bella;3;2;120;3.100 €;Piso
1333;Sant Gervasi - Bonanova;5;4;210;3.350 €;Piso
1334;Esquerra Alta de l´Eixample;4;2;139;1.890 €;Piso
1335;Dreta de l´Eixample;3;4;220;3.900 €;Ático
1336;Sarrià;5;5;264;4.350 €;Casa
1337;Sant Gervasi - Galvany;4;4;324;8.000 €;Ático
1338;Vila de Gràcia;2;2;100;1.695 €;Ático
1339;Sant Gervasi - Galvany;4;2;120;2.800 €;Piso
1340;Dreta de l´Eixample;4;3;226;9.000 €;Piso
1341;Tres Torres;5;4;338;3.900 €;Ático
1342;Turó de la Peira - Can Peguera;2;1;62;750 €;Piso
1343;Dreta de l´Eixample;3;2;180;3.990 €;Ático
1344;Sant Antoni;3;3;109;2.140 €;Dúplex
1345;Sarrià;5;4;170;3.600 €;Ático
1346;Tres Torres;5;4;300;4.200 €;Dúplex
1347;Pedralbes;5;4;350;8.000 €;Planta
1348;Sant Gervasi - Galvany;6;5;280;5.300 €;Piso
1349;Sant Gervasi - Galvany;4;2;194;2.800 €;Apartamento
1350;Sant Ramon - Maternitat;;1;35;685 €;Apartamento
1351;Dreta de l´Eixample;4;3;280;3.950 €;Piso
1352;Gòtic;;1;128;2.500 €;Piso
1353;Sant Gervasi - Galvany;3;2;84;1.700 €;Piso
1354;Les Corts;2;2;100;1.600 €;Piso
1355;Camp de l´Arpa;;1;45;750 €;Estudio
1356;Esquerra Alta de l´Eixample;2;1;82;1.300 €;Piso
1357;Porta;2;1;50;715 €;Piso
1358;Esquerra Baixa de l´Eixample;2;2;90;1.150 €;Piso
1359;Sant Gervasi - Bonanova;4;2;85;1.400 €;Piso
1360;Sant Gervasi - Bonanova;2;1;50;1.300 €;Piso
1361;Vila de Gràcia;3;2;100;1.400 €;Piso
1362;Dreta de l´Eixample;3;2;120;1.900 €;Piso
1363;Esquerra Alta de l´Eixample;3;2;80;1.100 €;Piso
1364;Vila de Gràcia;;2;78;1.150 €;Piso
1365;Vila de Gràcia;;2;78;1.150 €;Piso
1366;Camp d´en Grassot - Gràcia N.;2;2;90;1.295 €;Piso
1367;Vallvidrera - Tibidabo - Les Planes;4;2;140;1.650 €;Piso
1368;Sant Gervasi - Bonanova;3;2;120;1.700 €;Piso
1369;Esquerra Alta de l´Eixample;2;1;55;1.290 €;Piso
1370;Dreta de l´Eixample;3;2;89;1.550 €;Piso
1371;Barceloneta;2;1;60;1.195 €;Piso
1372;Les Corts;3;2;84;1.200 €;Piso
1373;La Sagrera;3;2;90;1.100 €;Piso
1374;Fort Pienc;3;1;85;1.150 €;Piso
1375;Sant Gervasi - Galvany;2;2;84;1.660 €;Piso
1376;Dreta de l´Eixample;3;3;130;3.500 €;Ático
1377;Dreta de l´Eixample;;1;80;1.300 €;Loft
1378;Tres Torres;4;2;160;2.300 €;Piso
1379;Vallcarca - Penitents;3;2;90;1.100 €;Piso
1380;Gòtic;2;1;80;1.080 €;Piso
1381;Dreta de l´Eixample;4;2;140;2.750 €;Piso
1382;Dreta de l´Eixample;2;3;150;2.500 €;Piso
1383;Sant Gervasi - Galvany;2;2;117;1.700 €;Piso
1384;Sant Gervasi - Galvany;2;2;84;1.660 €;Piso
1385;Dreta de l´Eixample;4;2;92;1.250 €;Piso
1386;Vallcarca - Penitents;2;1;68;900 €;Piso
1387;Provençals del Poblenou;4;2;100;1.850 €;Ático
1388;Esquerra Alta de l´Eixample;;1;38;1.050 €;Ático
1389;Dreta de l´Eixample;2;1;75;1.150 €;Piso
1390;Esquerra Alta de l´Eixample;2;1;61;1.450 €;Piso
1391;Poble Sec;3;1;190;2.400 €;Casa
1392;Vila de Gràcia;2;1;70;1.100 €;Piso
1393;Esquerra Alta de l´Eixample;3;2;76;1.855 €;Ático
1394;Sarrià;3;2;85;1.350 €;Piso
1395;Esquerra Alta de l´Eixample;2;1;77;1.280 €;Piso
1396;Sants;2;2;88;2.000 €;Piso
1397;Sant Gervasi - Galvany;5;4;200;5.000 €;Piso
1398;Sagrada Família;2;1;50;1.150 €;Piso
1399;Sarrià;5;5;350;5.850 €;Dúplex
1400;Sant Gervasi - Galvany;3;2;140;2.900 €;Piso
1401;Diagonal Mar - La Mar Bella;3;2;160;7.150 €;Ático
1402;Gòtic;3;2;149;2.200 €;Piso
1403;Sant Gervasi - Bonanova;3;2;108;1.350 €;Piso
1404;Baix Guinardó;3;2;79;1.150 €;Piso
1405;Sant Gervasi - Galvany;5;5;280;5.500 €;Piso
1406;St. Pere - Sta. Caterina - El Born;3;2;115;2.100 €;Piso
1407;Dreta de l´Eixample;3;3;205;7.000 €;Piso
1408;Sant Ramon - Maternitat;3;1;75;900 €;Piso
1409;Raval;;2;103;1.350 €;Apartamento
1410;Sant Ramon - Maternitat;4;2;95;1.500 €;Piso
1411;Esquerra Alta de l´Eixample;3;2;140;3.000 €;Piso
1412;Sant Ramon - Maternitat;3;2;110;2.300 €;Piso
1413;Sagrada Família;3;1;73;1.400 €;Ático
1414;Pedralbes;3;4;170;3.000 €;Piso
1415;Tres Torres;5;4;285;3.850 €;Piso
1416;Sant Gervasi - Bonanova;5;4;230;6.900 €;Piso
1417;Putget - Farró;4;4;240;3.100 €;Piso
1418;Tres Torres;4;3;190;3.600 €;Piso
1419;Sant Gervasi - Galvany;4;2;135;1.950 €;Piso
1420;Sant Gervasi - Bonanova;;1;40;1.200 €;Ático
1421;Sants;4;3;480;9.000 €;Casa
1422;Sarrià;5;5;264;4.350 €;Chalet
1423;Esquerra Alta de l´Eixample;2;2;130;3.500 €;Ático
1424;Sant Ramon - Maternitat;3;2;85;2.450 €;Apartamento
1425;Sant Gervasi - Galvany;3;2;135;1.600 €;Piso
1426;Les Corts;3;2;79;1.230 €;Piso
1427;Gòtic;2;2;103;2.300 €;Piso
1428;Sant Gervasi - Bonanova;5;2;195;1.850 €;Piso
1429;Pedralbes;3;3;190;3.400 €;Piso
1430;Dreta de l´Eixample;;1;70;2.200 €;Apartamento
1431;Vila de Gràcia;;1;70;1.150 €;Piso
1432;Sant Gervasi - Bonanova;4;6;289;7.887 €;Dúplex
1433;Raval;;1;50;1.195 €;Piso
1434;Esquerra Alta de l´Eixample;2;2;55;1.500 €;Piso
1435;Pedralbes;4;3;180;4.500 €;Piso
1436;Sant Gervasi - Bonanova;;1;50;1.300 €;Piso
1437;Sant Gervasi - Galvany;4;2;120;1.500 €;Piso
1438;Dreta de l´Eixample;2;1;60;1.600 €;Piso
1439;Esquerra Baixa de l´Eixample;2;2;80;2.000 €;Piso
1440;Sant Antoni;;1;47;1.200 €;Piso
1441;Dreta de l´Eixample;3;2;107;1.950 €;Apartamento
1442;Sant Gervasi - Galvany;2;2;75;1.020 €;Piso
1443;Gòtic;2;1;78;1.150 €;Piso
1444;Sant Antoni;;2;105;1.900 €;Piso
1445;Raval;2;4;53;1.305 €;Piso
1446;Sant Gervasi - Bonanova;6;5;289;8.156 €;Piso
1447;Dreta de l´Eixample;2;2;110;1.590 €;Piso
1448;Sant Gervasi - Galvany;4;3;165;3.500 €;Piso
1449;Tres Torres;2;3;180;2.850 €;Piso
1450;Esquerra Alta de l´Eixample;3;2;104;1.350 €;Piso
1451;Vila Olímpica;2;2;102;1.500 €;Dúplex
1452;Sant Gervasi - Bonanova;;1;55;1.395 €;Piso
1453;Les Corts;3;2;74;1.250 €;Piso
1454;Navas;2;2;60;1.299 €;Apartamento
1455;Dreta de l´Eixample;3;2;100;4.200 €;Ático
1456;Sant Gervasi - Galvany;3;4;140;3.700 €;Ático
1457;Les Corts;3;2;74;1.250 €;Piso
1458;Navas;2;2;60;1.299 €;Apartamento
1459;Esquerra Alta de l´Eixample;2;1;75;1.150 €;Piso
1460;Esquerra Baixa de l´Eixample;2;1;60;1.300 €;Piso
1461;Vila de Gràcia;4;2;100;2.250 €;Piso
1462;Dreta de l´Eixample;;1;60;950 €;Loft
1463;Dreta de l´Eixample;4;2;350;8.500 €;Ático
1464;Esquerra Baixa de l´Eixample;2;2;80;2.100 €;Ático
1465;Putget - Farró;2;1;50;1.450 €;Piso
1466;Sant Ramon - Maternitat;;1;60;950 €;Apartamento
1467;Esquerra Alta de l´Eixample;3;2;68;1.300 €;Piso
1468;Dreta de l´Eixample;3;2;170;3.100 €;Apartamento
1469;Gòtic;2;1;68;1.300 €;Piso
1470;Sant Gervasi - Galvany;3;2;140;3.820 €;Apartamento
1471;Fort Pienc;3;2;70;1.850 €;Ático
1472;Camp de l´Arpa;;1;25;750 €;Estudio
1473;Dreta de l´Eixample;3;2;150;2.600 €;Piso
1474;Dreta de l´Eixample;3;1;142;1.700 €;Dúplex
1475;Dreta de l´Eixample;3;2;110;1.550 €;Piso
1476;Sant Gervasi - Galvany;3;2;140;1.900 €;Piso
1477;Dreta de l´Eixample;;1;75;1.300 €;Piso
1478;Dreta de l´Eixample;;1;65;1.650 €;Ático
1479;Vila de Gràcia;;1;60;1.100 €;Piso
1480;Dreta de l´Eixample;2;1;61;1.595 €;Piso
1481;Vila de Gràcia;;1;55;1.120 €;Piso
1482;Sant Antoni;;1;61;1.450 €;Piso
1483;St. Pere - Sta. Caterina - El Born;2;1;55;1.095 €;Piso
1484;Sant Gervasi - Galvany;3;1;73;1.200 €;Piso
1485;Dreta de l´Eixample;3;3;150;2.700 €;Ático
1486;Fort Pienc;2;1;55;1.350 €;Ático
1487;Dreta de l´Eixample;3;2;111;1.500 €;Piso
1488;Esquerra Alta de l´Eixample;3;2;82;1.250 €;Piso
1489;Esquerra Alta de l´Eixample;2;2;86;1.750 €;Piso
1490;Besòs - Maresme;3;1;50;850 €;Piso
1491;Esquerra Baixa de l´Eixample;3;2;74;1.450 €;Piso
1492;Sant Ramon - Maternitat;;1;35;685 €;Piso
1493;Sant Gervasi - Galvany;3;1;85;1.200 €;Piso
1494;Esquerra Alta de l´Eixample;;1;60;950 €;Ático
1495;Badal;2;1;45;950 €;Piso
1496;Sant Gervasi - Galvany;4;2;136;1.850 €;Planta
1497;Barceloneta;;1;54;1.300 €;Piso
1498;Dreta de l´Eixample;2;1;87;1.450 €;Piso
1499;Esquerra Alta de l´Eixample;2;1;67;1.195 €;Piso
1500;St. Pere - Sta. Caterina - El Born;2;1;70;1.450 €;Piso
1501;Sant Gervasi - Galvany;2;1;60;1.250 €;Piso
1502;Dreta de l´Eixample;2;1;79;1.450 €;Piso
1503;Sant Gervasi - Galvany;2;2;86;1.990 €;Piso
1504;Dreta de l´Eixample;3;2;140;1.950 €;Piso
1505;Glòries El Parc;3;2;105;2.167 €;Dúplex
1506;Esquerra Alta de l´Eixample;3;2;180;3.000 €;Ático
1507;El Coll;2;2;75;1.200 €;Ático
1508;St. Pere - Sta. Caterina - El Born;2;2;100;2.500 €;Piso
1509;Sagrada Família;3;1;70;1.250 €;Apartamento
1510;Fort Pienc;;1;65;1.000 €;Piso
1511;Fort Pienc;;1;55;1.000 €;Piso
1512;Sant Genís dels Agudells;2;1;70;1.100 €;Piso
1513;Gòtic;;1;70;1.600 €;Apartamento
1514;Putget - Farró;3;3;170;2.800 €;Apartamento
1515;Fort Pienc;2;1;58;1.420 €;Piso
1516;Raval;3;3;110;2.050 €;Piso
1517;Dreta de l´Eixample;2;2;95;1.550 €;Piso
1518;Poble Sec;3;2;80;1.600 €;Piso
1519;Sant Gervasi - Galvany;2;1;75;1.100 €;Piso
1520;Sant Gervasi - Galvany;2;2;110;1.900 €;Piso
1521;Barceloneta;2;1;60;1.350 €;Apartamento
1522;Sant Gervasi - Bonanova;3;2;132;1.800 €;Piso
1523;Dreta de l´Eixample;4;2;150;2.180 €;Apartamento
1524;Putget - Farró;;1;60;1.250 €;Piso
1525;Raval;;1;45;1.100 €;Piso
1526;Esquerra Baixa de l´Eixample;3;2;93;1.945 €;Piso
1527;Dreta de l´Eixample;3;2;100;2.500 €;Piso
1528;Dreta de l´Eixample;3;2;96;1.600 €;Piso
